,narration_is_0_dialogue_is_1,sentence_length,all_pos_counts,parts_of_speech_total_count,POS_ADP_count,POS_DET_count,POS_ADJ_count,POS_CCONJ_count,POS_ADV_count,POS_NOUN_count,POS_PRON_count,POS_VERB_count,POS_PROPN_count,POS_PUNCT_count,POS_AUX_count,POS_NUM_count,POS_PART_count,POS_SCONJ_count,POS_INTJ_count,POS_X_count,POS_SYM_count,%POS_ADP_count,%POS_DET_count,%POS_ADJ_count,%POS_CCONJ_count,%POS_ADV_count,%POS_NOUN_count,%POS_PRON_count,%POS_VERB_count,%POS_PROPN_count,%POS_PUNCT_count,%POS_AUX_count,%POS_NUM_count,%POS_PART_count,%POS_SCONJ_count,%POS_INTJ_count,%POS_X_count,%POS_SYM_count
2,0,34,"[['ADP', 4], ['DET', 5], ['ADJ', 4], ['CCONJ', 2], ['ADV', 2], ['NOUN', 8], ['PRON', 1], ['VERB', 2], ['PROPN', 5], ['PUNCT', 4], ['AUX', 1]]",38,4.0,5.0,4.0,2.0,2.0,8.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.526,13.158,10.526,5.263,5.263,21.053,2.632,5.263,13.158,10.526,2.632,0.0,0.0,0.0,0.0,0.0,0.0
3,0,45,"[['ADP', 9], ['DET', 7], ['ADV', 2], ['PUNCT', 7], ['VERB', 5], ['NOUN', 8], ['NUM', 1], ['PROPN', 8], ['ADJ', 1], ['PRON', 3], ['AUX', 1], ['PART', 1]]",53,9.0,7.0,1.0,0.0,2.0,8.0,3.0,5.0,8.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.981,13.208,1.887,0.0,3.774,15.094,5.66,9.434,15.094,13.208,1.887,1.887,1.887,0.0,0.0,0.0,0.0
4,0,20,"[['PRON', 1], ['AUX', 2], ['VERB', 3], ['ADP', 4], ['PROPN', 2], ['DET', 2], ['ADJ', 1], ['NOUN', 3], ['PUNCT', 6], ['CCONJ', 1], ['ADV', 1]]",26,4.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,7.692,3.846,3.846,3.846,11.538,3.846,11.538,7.692,23.077,7.692,0.0,0.0,0.0,0.0,0.0,0.0
5,0,6,"[['PROPN', 1], ['AUX', 1], ['ADJ', 3], ['PUNCT', 3], ['CCONJ', 1]]",9,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333,11.111,0.0,0.0,0.0,0.0,11.111,33.333,11.111,0.0,0.0,0.0,0.0,0.0,0.0
6,0,18,"[['PRON', 2], ['VERB', 2], ['DET', 1], ['NOUN', 7], ['ADP', 4], ['PUNCT', 7], ['PROPN', 1], ['AUX', 1]]",25,4.0,1.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,28.0,8.0,8.0,4.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,9,"[['AUX', 2], ['PUNCT', 4], ['ADP', 1], ['DET', 1], ['NOUN', 2], ['PRON', 2], ['NUM', 1]]",13,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.692,7.692,0.0,0.0,0.0,15.385,15.385,0.0,0.0,30.769,15.385,7.692,0.0,0.0,0.0,0.0,0.0
8,0,10,"[['ADP', 2], ['DET', 2], ['NOUN', 2], ['PRON', 1], ['AUX', 1], ['ADV', 1], ['ADJ', 1], ['PUNCT', 1]]",11,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.182,18.182,9.091,0.0,9.091,18.182,9.091,0.0,0.0,9.091,9.091,0.0,0.0,0.0,0.0,0.0,0.0
9,0,22,"[['PART', 1], ['VERB', 1], ['NOUN', 5], ['ADP', 3], ['DET', 3], ['ADJ', 3], ['AUX', 2], ['ADV', 2], ['PUNCT', 2], ['PRON', 2]]",24,3.0,3.0,3.0,0.0,2.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,8.333,20.833,8.333,4.167,0.0,8.333,8.333,0.0,4.167,0.0,0.0,0.0,0.0
10,0,31,"[['SCONJ', 1], ['ADP', 6], ['PROPN', 5], ['PRON', 4], ['VERB', 4], ['DET', 3], ['ADJ', 1], ['NOUN', 4], ['PUNCT', 4], ['CCONJ', 1], ['PART', 1], ['ADV', 1]]",35,6.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.143,8.571,2.857,2.857,2.857,11.429,11.429,11.429,14.286,11.429,0.0,0.0,2.857,2.857,0.0,0.0,0.0
11,0,33,"[['SCONJ', 1], ['PRON', 2], ['AUX', 2], ['ADP', 6], ['DET', 6], ['ADJ', 5], ['NOUN', 6], ['PUNCT', 3], ['PART', 1], ['VERB', 3], ['ADV', 2], ['CCONJ', 1]]",38,6.0,6.0,5.0,1.0,2.0,6.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,15.789,15.789,13.158,2.632,5.263,15.789,5.263,7.895,0.0,7.895,5.263,0.0,2.632,2.632,0.0,0.0,0.0
12,0,20,"[['DET', 2], ['ADJ', 3], ['NOUN', 2], ['PUNCT', 3], ['PRON', 2], ['VERB', 1], ['ADP', 2], ['PROPN', 1], ['ADV', 4], ['CCONJ', 1], ['AUX', 2]]",23,2.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.696,8.696,13.043,4.348,17.391,8.696,8.696,4.348,4.348,13.043,8.696,0.0,0.0,0.0,0.0,0.0,0.0
13,0,11,"[['PRON', 2], ['AUX', 2], ['ADV', 1], ['NUM', 2], ['CCONJ', 2], ['PUNCT', 2], ['NOUN', 1], ['PROPN', 1]]",13,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.385,7.692,7.692,15.385,0.0,7.692,15.385,15.385,15.385,0.0,0.0,0.0,0.0,0.0
14,0,19,"[['ADP', 5], ['NOUN', 6], ['PRON', 1], ['AUX', 1], ['PART', 1], ['ADV', 2], ['DET', 1], ['PUNCT', 2], ['SCONJ', 1], ['NUM', 1]]",21,5.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23.81,4.762,0.0,0.0,9.524,28.571,4.762,0.0,0.0,9.524,4.762,4.762,4.762,4.762,0.0,0.0,0.0
15,0,12,"[['PRON', 3], ['AUX', 2], ['ADJ', 1], ['ADP', 1], ['NOUN', 2], ['CCONJ', 2], ['PUNCT', 2], ['PART', 1]]",14,1.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.143,0.0,7.143,14.286,0.0,14.286,21.429,0.0,0.0,14.286,14.286,0.0,7.143,0.0,0.0,0.0,0.0
16,0,33,"[['DET', 3], ['ADJ', 4], ['NOUN', 7], ['PUNCT', 5], ['ADP', 5], ['VERB', 5], ['AUX', 1], ['ADV', 2], ['CCONJ', 1], ['PRON', 4]]",37,5.0,3.0,4.0,1.0,2.0,7.0,4.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.514,8.108,10.811,2.703,5.405,18.919,10.811,13.514,0.0,13.514,2.703,0.0,0.0,0.0,0.0,0.0,0.0
17,0,14,"[['PROPN', 1], ['VERB', 2], ['DET', 2], ['NOUN', 3], ['ADP', 2], ['PRON', 2], ['AUX', 1], ['ADV', 1], ['PUNCT', 1]]",15,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333,13.333,0.0,0.0,6.667,20.0,13.333,13.333,6.667,6.667,6.667,0.0,0.0,0.0,0.0,0.0,0.0
18,0,6,"[['PRON', 2], ['VERB', 1], ['ADP', 1], ['ADJ', 1], ['NOUN', 1], ['PUNCT', 1]]",7,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286,0.0,14.286,0.0,0.0,14.286,28.571,14.286,0.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
